session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts,imu0_ax_f,imu0_gx_f,imu0_ay_f,imu0_gy_f,imu0_az_f,imu0_gz_f,imu1_ax_f,imu1_gx_f,imu1_ay_f,imu1_gy_f,imu1_az_f,imu1_gz_f
20260212_183758,748,0.01,-0.32121926910299003,-0.2735581395348827,0.5040631229235879,0.016438538205980065,-0.19618272425249167,-0.07705315614617941,0.015019933554817275,0.01605315614617986,0.282843853820598,-0.011644518272425249,0.07063787375415281,0.04610963455149502,387897,-0.12074460055094591,0.05133409061729849,-0.11297841033273287,-0.25549166738841933,0.4390497164066015,-0.08080163351271681,0.38085762414451013,-0.0022539985156579353,-0.07060552299755933,0.011276513273324596,0.07302141450137144,0.037164700645809665
20260212_183758,749,0.01,-0.22321926910298995,-0.17255813953488186,0.5550631229235881,0.06543853820598006,-0.2751827242524917,-0.10205315614617941,0.10301993355481728,-0.11094684385381903,0.276843853820598,-0.00864451827242525,0.08963787375415283,0.06010963455149502,387907,-0.047772312000537304,0.050755246621552376,-0.09481593479171153,-0.28199101580415625,0.48242384460950233,-0.11202200122577566,0.3876113075863633,0.002677205838199287,-0.07620906609111047,0.0065577537223616995,0.08288799486609036,0.04621670612570684
20260212_183758,750,0.01,-0.04321926910299001,-0.1325581395348827,0.461063122923588,0.11543853820598006,-0.3871827242524917,-0.14105315614617941,0.2690199335548173,-0.23394684385382014,-0.09115614617940199,0.005355481727574751,0.05163787375415282,0.06310963455149501,387917,0.032701649858177924,0.04675347032622304,-0.06859723851342306,-0.2992210919239754,0.5131359569476214,-0.14706312326202806,0.41254876750250885,0.008134972120696483,-0.0803143802546494,0.0031547761218157448,0.09065887020468158,0.05556343907606832
20260212_183758,751,0.01,0.27978073089700994,-0.17055813953488297,0.4860631229235879,0.09543853820598007,-0.3951827242524917,-0.18005315614617942,0.5170199335548172,-0.0999468438538198,-0.104156146179402,0.03335548172757475,-0.03836212624584718,0.05310963455149502,387927,0.11302385123219166,0.039210059176501416,-0.03677000903582793,-0.3051523717030479,0.5285321519545292,-0.18502510076822998,0.45098520355371813,0.013803177326967689,-0.08291567941221176,0.0011079133490480549,0.09705571998613484,0.06488796540028792
20260212_183758,752,0.01,0.3527807308970099,-0.04155813953488163,0.545063122923588,0.08043853820598006,-0.30918272425249166,-0.2260531561461794,0.6160199335548172,-0.0399468438538193,0.038843853820598004,0.03335548172757475,-0.07836212624584718,0.05910963455149502,387937,0.18541715917224516,0.02841560469776494,-0.0026063201861067533,-0.2988462730965018,0.5271417258904993,-0.22488842266136147,0.4972418902136521,0.019389811076410485,-0.08428272479056603,0.0003247490747879902,0.10257396765623705,0.07387444905801813
20260212_183758,753,0.01,0.36978073089701,0.18844186046511702,0.7960631229235879,0.08043853820598006,-0.3571827242524917,-0.26705315614617936,0.9330199335548173,-0.13194684385381983,0.081843853820598,0.029355481727574753,-0.06736212624584717,0.06610963455149502,387947,0.24311973247009275,0.015065664319320386,0.03023909048811753,-0.2806917960481903,0.5089345207249439,-0.26559448215855325,0.5457877235297621,0.024674635279758026,-0.0849040311657712,0.00048305421576341745,0.10723294190856614,0.08219893463719674
20260212_183758,754,0.01,0.5287807308970099,0.2094418604651178,0.497063122923588,-0.0015614617940199332,-0.4171827242524917,-0.3190531561461794,0.9880199335548172,-0.15794684385381963,-0.15015614617940198,0.03435548172757475,-0.028362126245847177,0.07810963455149501,387957,0.281381503961981,0.00017499458877881424,0.058253164758997056,-0.25246478767543684,0.4754461598775992,-0.30612794866326404,0.5923149456865442,0.02954341807592681,-0.0853719451993437,0.0009654078252814586,0.11047089090889686,0.08952615105884874
20260212_183758,755,0.01,0.5197807308970099,0.1934418604651178,0.2660631229235879,-0.09256146179401993,-0.2831827242524917,-0.3630531561461794,0.9250199335548173,-0.005946843853820383,-0.028156146179401986,0.05535548172757475,-0.041362126245847175,0.086109634551495,387967,0.2981479624922881,-0.015077280346254709,0.07857568356077134,-0.21718679737264465,0.4297374821176672,-0.3455916172892654,0.6345161721558513,0.03400195414145801,-0.08623482622642632,0.0008595139325310557,0.11122707015601647,0.09551849388006609
20260212_183758,756,0.01,0.3567807308970099,0.11644186046511784,0.29906312292358805,-0.13256146179401992,-0.1141827242524917,-0.39405315614617936,0.7400199335548172,0.15905315614618054,0.198843853820598,0.04935548172757475,-0.024362126245847177,0.10310963455149501,387977,0.29431922294608054,-0.029538700727558015,0.08940362554603475,-0.17879112583223528,0.3761779145982104,-0.38326461325471417,0.6724008754027069,0.03816742092777867,-0.0878522920166119,-0.0009603936332982916,0.10820262060593878,0.09985868916483527
20260212_183758,757,0.01,0.2577807308970099,-0.0905581395348829,0.6690631229235879,-0.09856146179401994,-0.011182724252491692,-0.4200531561461794,0.47201993355481725,-0.0659468438538191,0.316843853820598,0.01435548172757475,0.0016378737541528215,0.12710963455149502,387987,0.2735471922487154,-0.042266475622145604,0.09022364554101235,-0.14163799770402385,0.32007045774164283,-0.4186370562317447,0.7081030566347172,0.042239096396939756,-0.09029364322641792,-0.00567810099997684,0.10023970555222207,0.10228227526311857
