session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260212_183758,108,0.01,-1.162,9.38,-1.434,0.058,-0.253,-0.079,-0.085,-9.977,0.08,-0.007,-0.028,0.047,381497
20260212_183758,109,0.01,-0.96,9.461,-1.573,0.05,-0.221,-0.098,0.184,-10.028,0.11,-0.006,-0.019,0.049,381507
20260212_183758,110,0.01,-0.873,9.528,-1.646,0.024,-0.122,-0.118,0.301,-10.082,0.202,-0.004,-0.039,0.046,381517
20260212_183758,111,0.01,-0.952,9.503,-1.558,0.013,-0.047,-0.127,0.278,-10.062,0.254,0.001,-0.068,0.043,381527
20260212_183758,112,0.01,-0.97,9.485,-1.512,0.029,-0.037,-0.124,0.178,-10.022,0.206,0.007,-0.084,0.044,381537
20260212_183758,113,0.01,-0.946,9.409,-1.507,0.022,-0.047,-0.117,0.153,-10.052,0.17,0.012,-0.086,0.049,381547
20260212_183758,114,0.01,-0.901,9.36,-1.354,0.015,-0.043,-0.106,0.288,-10.216,0.184,0.019,-0.072,0.055,381557
20260212_183758,115,0.01,-0.901,9.446,-1.451,0.008,-0.004,-0.105,0.573,-10.26,0.284,0.02,-0.058,0.052,381567
20260212_183758,116,0.01,-0.919,9.498,-1.609,-0.005,0.06,-0.115,0.866,-10.099,0.267,0.015,-0.061,0.05,381577
20260212_183758,117,0.01,-0.982,9.505,-1.531,-0.014,0.119,-0.115,0.944,-10.142,0.248,0.026,-0.101,0.058,381587
20260212_183758,118,0.01,-1.004,9.576,-1.547,-0.025,0.12,-0.106,0.778,-10.187,0.268,0.024,-0.16,0.054,381597
20260212_183758,119,0.01,-0.991,9.57,-1.73,-0.036,0.106,-0.092,0.617,-10.074,0.285,0.017,-0.175,0.06,381607
20260212_183758,120,0.01,-1.03,9.516,-1.735,-0.029,0.135,-0.068,0.432,-9.948,0.264,0.014,-0.17,0.078,381617
20260212_183758,121,0.01,-1.186,9.544,-1.704,-0.022,0.151,-0.043,0.138,-9.872,0.11,0.013,-0.166,0.102,381627
